Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R55,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,128.63125,-120.05,0,bottom
R59,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.2,-125.6,180,bottom
R60,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168,-117.8,0,bottom
R61,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,164.2,-123.6,180,bottom
R62,5kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,168,-119.8,0,bottom
U8,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,122.50475,-92.47375,90,bottom
U9,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,176.35,-133.25,0,bottom
U10,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,137.325,-133.25,0,bottom
U11,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,183.9125,-94.5,0,bottom
U12,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,183.9125,-100.5,0,bottom
U13,TMP1075DSG,WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm,183.9125,-106.655,0,bottom
U17,ATXK-H14,ATXK-H14,143.525,-131.55,180,bottom
U18,ATXK-H14,ATXK-H14,182.925,-132.05,180,bottom
XTAL2,ABS07AIG-32.768KHZ-9-D-T,XTAL_ABS07AIG_ABR,130.3176,-131.1,180,bottom
XTAL3,ABS07AIG-32.768KHZ-9-D-T,XTAL_ABS07AIG_ABR,169.3176,-132,180,bottom
C2_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.155,-71.21,180,top
C3,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.325,-99.074982,0,top
C4_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.317529,-80,180,top
C7_RETRY1,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.325,-94.824982,180,top
C24,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.155,-75.46,0,top
C25,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,180.342529,-84.5,0,top
C26,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,179.8875,-114,0,top
C30,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.7375,-92,180,top
C31,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,148.8875,-92.25,0,top
C43,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.840001,-125.840699,90,top
C44,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,117.078001,-122.232799,180,top
C45,0.1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,159.766,-131.2175,-90,top
